Total,offer
10.0,0.1
10.0,0.9
10.0,0.5
10.0,0.8
10.0,0.0
10.0,0.4
10.0,0.5
10.0,0.2
10.0,0.1
10.0,0.4
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.49
100.0,0.49
100.0,0.49
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.13
100.0,0.13
100.0,0.13
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.48
100.0,0.48
100.0,0.48
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.29
100.0,0.29
100.0,0.29
100.0,0.47
100.0,0.47
100.0,0.47
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.24
100.0,0.24
100.0,0.24
100.0,0.44
100.0,0.44
100.0,0.44
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.48
100.0,0.48
100.0,0.48
100.0,0.47
100.0,0.47
100.0,0.47
100.0,0.41
100.0,0.41
100.0,0.41
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.28
100.0,0.28
100.0,0.51
100.0,0.51
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.12
100.0,0.12
100.0,0.12
100.0,0.5
100.0,0.5
100.0,0.5
5000.0,0.4
5000.0,0.4932
5000.0,0.4022
5000.0,0.0018
5000.0,0.5
5000.0,0.521
5000.0,0.285
5000.0,0.3918
5000.0,0.48
5000.0,0.3014
5000.0,0.489
5000.0,0.3916
5000.0,0.01
5000.0,0.5018
5000.0,0.4092
5000.0,0.2344
5000.0,0.689
5000.0,0.0036
5000.0,0.4826
5000.0,0.4722
5000.0,0.182
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,0.9
10.0,0.9
10.0,0.9
10.0,0.9
10.0,0.9
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.1
10.0,0.1
10.0,0.1
10.0,0.1
10.0,0.1
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.7
10.0,0.7
10.0,0.7
10.0,0.7
10.0,0.7
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.3
10.0,0.3
10.0,0.3
10.0,0.3
10.0,0.3
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.2
10.0,0.2
10.0,0.2
10.0,0.2
10.0,0.2
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.1
10.0,0.1
10.0,0.1
10.0,0.1
10.0,0.1
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.6
10.0,0.6
10.0,0.6
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.8
10.0,0.8
10.0,0.8
10.0,0.8
10.0,0.8
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.9
10.0,0.9
10.0,0.9
10.0,0.9
10.0,0.9
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.6
10.0,0.6
10.0,0.6
10.0,0.6
10.0,0.6
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.2
10.0,0.2
10.0,0.2
10.0,0.2
10.0,0.2
10.0,0.3
10.0,0.3
10.0,0.3
10.0,0.3
10.0,0.3
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,0.6
10.0,0.6
10.0,0.6
10.0,0.6
10.0,0.6
10.0,0.2
10.0,0.2
10.0,0.2
10.0,0.2
10.0,0.2
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.1
10.0,0.1
10.0,0.1
10.0,0.1
10.0,0.1
10.0,0.2
10.0,0.2
10.0,0.2
10.0,0.2
10.0,0.2
10.0,0.1
10.0,0.1
10.0,0.1
10.0,0.1
10.0,0.1
10.0,0.2
10.0,0.2
10.0,0.2
10.0,0.2
10.0,0.2
10.0,0.2
10.0,0.2
10.0,0.2
10.0,0.2
10.0,0.2
10.0,0.3
10.0,0.3
10.0,0.3
10.0,0.3
10.0,0.3
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.3
10.0,0.3
10.0,0.3
10.0,0.3
10.0,0.3
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.4
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.0
10.0,0.9
10.0,0.9
10.0,0.9
10.0,0.9
10.0,0.9
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
100.0,0.03
100.0,0.03
100.0,0.03
100.0,0.78
100.0,0.78
100.0,0.78
100.0,0.57
100.0,0.57
100.0,0.57
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.34
100.0,0.34
100.0,0.34
100.0,0.27
100.0,0.27
100.0,0.27
100.0,0.38
100.0,0.36
100.0,0.4
100.0,0.15
100.0,0.4
100.0,0.2
100.0,0.4
100.0,0.5
10.0,0.4
10.0,0.4
10.0,0.0
10.0,0.3
10.0,0.4
10.0,0.1
10.0,0.1
10.0,0.4
10.0,0.5
10.0,0.3
10.0,0.1
10.0,0.3
10.0,0.3
10.0,0.5
10.0,0.2
10.0,0.5
10.0,0.3
10.0,0.4
10.0,0.4
10.0,0.2
10.0,0.0
100.0,0.22
100.0,0.5
100.0,0.01
100.0,0.35
100.0,0.42
100.0,0.27
100.0,0.51
100.0,0.11
100.0,0.44
100.0,0.19
100.0,0.4
100.0,0.5
100.0,0.5
100.0,0.48
100.0,0.96
100.0,0.5
100.0,0.02
100.0,0.45
100.0,0.49
100.0,0.4
100.0,0.5
100.0,0.48
100.0,0.5
100.0,0.2
100.0,0.4
100.0,0.2
100.0,0.49
100.0,0.49
100.0,0.5
100.0,0.26
100.0,0.01
100.0,0.0
100.0,0.4
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.51
100.0,0.4
100.0,0.5
100.0,0.0
100.0,0.5
100.0,0.43
100.0,0.5
100.0,0.16
100.0,0.5
100.0,0.3
100.0,0.02
100.0,0.02
100.0,0.01
100.0,0.4
100.0,0.01
100.0,0.5
100.0,0.01
100.0,0.02
100.0,0.01
100.0,0.01
100.0,0.07
100.0,0.01
100.0,0.01
100.0,0.5
100.0,0.4
100.0,0.22
100.0,0.46
100.0,0.46
100.0,0.36
100.0,0.18
100.0,0.37
100.0,0.51
100.0,0.51
100.0,0.51
100.0,0.51
100.0,0.51
100.0,0.49
100.0,0.49
100.0,0.49
100.0,0.49
100.0,0.49
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.37
100.0,0.37
100.0,0.37
100.0,0.37
100.0,0.37
100.0,0.48
100.0,0.48
100.0,0.48
100.0,0.48
100.0,0.48
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.5
